pickup_zone,pickup_name,pickup_center_lat,pickup_center_lon,pickup_radius_km,dropoff_zone,dropoff_name,dropoff_center_lat,dropoff_center_lon,dropoff_radius_km,probability_%
169.0,Cluster_169,13.580656205109118,100.37616424786488,1.4044956379685969,254.0,Cluster_254,13.693822023062632,100.75116048992759,0.5318092352309657,2.44
169.0,Cluster_169,13.580656205109118,100.37616424786488,1.4044956379685969,771.0,Cluster_771,13.719395133787419,100.58933113673915,1.1938544695200881,2.44
169.0,Cluster_169,13.580656205109118,100.37616424786488,1.4044956379685969,864.0,Cluster_864,13.654794808822365,100.42851537077456,1.039524783444982,7.32
169.0,Cluster_169,13.580656205109118,100.37616424786488,1.4044956379685969,934.0,Cluster_934,13.66406817999465,100.44085603630081,0.9137819574013095,4.88
169.0,Cluster_169,13.580656205109118,100.37616424786488,1.4044956379685969,1004.0,Cluster_1004,13.714060963135601,100.4941496807825,2.7499837298799212,9.76
169.0,Cluster_169,13.580656205109118,100.37616424786488,1.4044956379685969,1025.0,Cluster_1025,13.72316155915537,100.45954752359472,0.7957081795865562,2.44
169.0,Cluster_169,13.580656205109118,100.37616424786488,1.4044956379685969,1240.0,Cluster_1240,13.711173323920551,100.40702550258827,0.5498224565545009,2.44
184.0,Cluster_184,13.585772865245293,100.5185942376957,1.9655914830642347,864.0,Cluster_864,13.654794808822365,100.42851537077456,1.039524783444982,2.0
184.0,Cluster_184,13.585772865245293,100.5185942376957,1.9655914830642347,952.0,Cluster_952,13.747143525637034,100.49701840957576,2.9400753240717155,6.0
184.0,Cluster_184,13.585772865245293,100.5185942376957,1.9655914830642347,1004.0,Cluster_1004,13.714060963135601,100.4941496807825,2.7499837298799212,4.0
184.0,Cluster_184,13.585772865245293,100.5185942376957,1.9655914830642347,1284.0,Cluster_1284,13.691056810388858,100.50100164286688,1.116073700921474,2.0
226.0,Cluster_226,13.885364405321782,100.71643246712217,0.7820683113050954,254.0,Cluster_254,13.693822023062632,100.75116048992759,0.5318092352309657,3.03
226.0,Cluster_226,13.885364405321782,100.71643246712217,0.7820683113050954,655.0,Cluster_655,13.724692700446264,100.74195577374749,1.1653804324862995,3.03
226.0,Cluster_226,13.885364405321782,100.71643246712217,0.7820683113050954,765.0,Cluster_765,13.845406302049746,100.63678920268552,0.30809989891436174,3.03
226.0,Cluster_226,13.885364405321782,100.71643246712217,0.7820683113050954,890.0,Cluster_890,13.768714688025733,100.63721401524249,2.4812019817667332,3.03
226.0,Cluster_226,13.885364405321782,100.71643246712217,0.7820683113050954,1126.0,Cluster_1126,13.809146952913965,100.72509475294152,0.896061254230703,3.03
226.0,Cluster_226,13.885364405321782,100.71643246712217,0.7820683113050954,1129.0,Cluster_1129,13.820921061467027,100.68157467246472,1.30577467803737,9.09
243.0,Cluster_243,14.018671297044477,100.53400001331447,0.6404228270390583,438.0,Cluster_438,13.988865448731412,100.61357777309574,1.2581960044500258,2.5
243.0,Cluster_243,14.018671297044477,100.53400001331447,0.6404228270390583,777.0,Cluster_777,13.75207750422765,100.51004851106447,1.2658266370539317,2.5
289.0,Cluster_289,13.563848827836622,100.66998402638832,0.5780256575152221,259.0,Cluster_259,13.584595666245097,100.60758650102434,0.3843398069254826,4.48
289.0,Cluster_289,13.563848827836622,100.66998402638832,0.5780256575152221,504.0,Cluster_504,13.633477429831448,100.71226412263965,0.4274151088618468,2.99
289.0,Cluster_289,13.563848827836622,100.66998402638832,0.5780256575152221,688.0,Cluster_688,13.763653022992271,100.72635076355063,0.811869409557099,1.49
289.0,Cluster_289,13.563848827836622,100.66998402638832,0.5780256575152221,1056.0,Cluster_1056,13.747017579883558,100.54235806141186,1.9530709968595004,1.49
292.0,Cluster_292,13.650171404361963,100.48517265210961,1.1116924282870877,934.0,Cluster_934,13.66406817999465,100.44085603630081,0.9137819574013095,3.03
292.0,Cluster_292,13.650171404361963,100.48517265210961,1.1116924282870877,952.0,Cluster_952,13.747143525637034,100.49701840957576,2.9400753240717155,6.06
292.0,Cluster_292,13.650171404361963,100.48517265210961,1.1116924282870877,958.0,Cluster_958,13.835124626804136,100.57317358699878,0.5345044939844685,3.03
292.0,Cluster_292,13.650171404361963,100.48517265210961,1.1116924282870877,1004.0,Cluster_1004,13.714060963135601,100.4941496807825,2.7499837298799212,3.03
292.0,Cluster_292,13.650171404361963,100.48517265210961,1.1116924282870877,1089.0,Cluster_1089,13.754791731661905,100.56708662740417,1.5023747792492654,3.03
309.0,Cluster_309,13.986259159433775,100.57028049797925,0.5914913503362159,438.0,Cluster_438,13.988865448731412,100.61357777309574,1.2581960044500258,14.71
309.0,Cluster_309,13.986259159433775,100.57028049797925,0.5914913503362159,521.0,Cluster_521,13.91155007464413,100.59725859561388,0.9664337907276375,2.94
309.0,Cluster_309,13.986259159433775,100.57028049797925,0.5914913503362159,746.0,Cluster_746,13.824863593886425,100.65623282420428,0.37152201878468705,2.94
309.0,Cluster_309,13.986259159433775,100.57028049797925,0.5914913503362159,796.0,Cluster_796,13.885030068532608,100.58362366062926,0.39244726977860256,2.94
309.0,Cluster_309,13.986259159433775,100.57028049797925,0.5914913503362159,1188.0,Cluster_1188,13.842646482835146,100.57640457755474,0.410497935079561,2.94
338.0,Cluster_338,13.799895699772684,100.31193587900684,0.6180293533165436,364.0,Cluster_364,13.77860805981552,100.48214417772792,2.004280576054206,3.12
338.0,Cluster_338,13.799895699772684,100.31193587900684,0.6180293533165436,770.0,Cluster_770,13.760301763377656,100.53047258905946,2.109589292739842,3.12
